urn,la_code,local_authority_ons_name,region_code,ofsted_ilacs_scrape_la_name,rgn22cd,rgn22nm,lad22cd,ltla23cd,ltla23nm,ltla23nmw,utla23cd,utla23nm,country,parliamentary_constituency,ofsted_region,gov_office_region
80489,304,Brent,GL,Brent,E12000007,London,E09000005,E09000005,Brent,,E09000005,Brent,England,"Brent North, Brent Central, Hampstead and Kilburn",London,London
80491,202,Camden,GL,Camden,E12000007,London,E09000007,E09000007,Camden,,E09000007,Camden,England,"Holborn and St Pancras, Hampstead and Kilburn",London,London
303,303,Bexley,GL,Bexley,E12000007,London,E09000004,E09000004,Bexley,,E09000004,Bexley,England,"Bexleyheath and Crayford, Old Bexley and Sidcup, Erith and Thamesmead",London,London
308,308,Enfield,GL,Enfield,E12000007,London,E09000010,E09000010,Enfield,,E09000010,Enfield,England,"Enfield North, Enfield Southgate, Edmonton",London,London
312,312,Hillingdon,GL,Hillingdon,E12000007,London,E09000017,E09000017,Hillingdon,,E09000017,Hillingdon,England,"Uxbridge and South Ruislip, Ruislip, Northwood and Pinner, Hayes and Harlington",London,London
350,350,Bolton,NW,Bolton,E12000002,North West,E08000001,E08000001,Bolton,,E08000001,Bolton,England,"Bolton West, Bolton North East, Bolton South East",North West,North West
383,383,Leeds,YH,Leeds,E12000003,Yorkshire and The Humber,E08000035,E08000035,Leeds,,E08000035,Leeds,England,"Leeds Central, Leeds North West, Leeds West, Leeds East, Leeds North East, Pudsey, Elmet and Rothwell, Morley and Outwood",Yorkshire and The Humber,Yorkshire and The Humber
815,815,North Yorkshire,YH,North Yorkshire,E12000003,Yorkshire and The Humber,,E10000023,North Yorkshire,,E10000023,North Yorkshire,England,"Richmond, Selby and Ainsty, Skipton and Ripon, Thirsk and Malton, Scarborough and Whitby, Harrogate and Knaresborough, York Central, York Outer",Yorkshire and The Humber,Yorkshire and The Humber
830,830,Derbyshire,EM,Derbyshire,E12000004,East Midlands,,E10000007,Derbyshire,,E10000007,Derbyshire,England,"Bolsover, Chesterfield, Derbyshire Dales, Erewash, High Peak, Mid Derbyshire, North East Derbyshire, South Derbyshire",East Midlands,East Midlands
838,838,Dorset,SW,Dorset,E12000009,South West,,E10000009,Dorset,,E10000009,Dorset,England,"Christchurch, Mid Dorset and North Poole, North Dorset, South Dorset, West Dorset, Bournemouth West, Bournemouth East, Poole",South West,South West
846,846,Brighton and Hove,SE,Brighton and Hove,E12000008,South East,E06000043,E06000043,Brighton and Hove,,E06000043,Brighton and Hove,England,"Brighton Pavilion, Brighton Kemptown, Hove",South East,South East
879,879,Plymouth,SW,Plymouth,E12000009,South West,E06000026,E06000026,Plymouth,,E06000026,Plymouth,England,"Plymouth Moor View, Plymouth Sutton and Devonport",South West,South West
884,884,Herefordshire,WM,Herefordshire,E12000005,West Midlands,E06000019,E06000019,Herefordshire,,E06000019,Herefordshire,England,"Hereford and South Herefordshire, North Herefordshire",West Midlands,West Midlands
891,891,Nottinghamshire,EM,Nottinghamshire,E12000004,East Midlands,,E10000024,Nottinghamshire,,E10000024,Nottinghamshire,England,"Ashfield, Bassetlaw, Broxtowe, Gedling, Mansfield, Newark, Nottingham East, Nottingham South, Nottingham North, Rushcliffe, Sherwood",East Midlands,East Midlands
916,916,Gloucestershire,SW,Gloucestershire,E12000003,Yorkshire and The Humber,,E10000013,Gloucestershire,,E10000013,Gloucestershire,England,"Cheltenham, Forest of Dean, Gloucester, Stroud, Tewkesbury, Cotswold, Thornbury and Yate",South West,South West
919,919,Hertfordshire,E,Hertfordshire,E12000006,East of England,,E10000015,Hertfordshire,,E10000015,Hertfordshire,England,Hertsmere,East of England,East of England
940,940,North Northamptonshire,EM,North Northamptonshire,E12000004,East Midlands,E06000061,E06000061,North Northamptonshire,,E06000061,North Northamptonshire,England,Kettering,East Midlands,East Midlands
941,941,West Northamptonshire,EM,West Northamptonshire,E12000004,East Midlands,E06000062,E06000062,West Northamptonshire,,E06000062,West Northamptonshire,England,Northampton North,East Midlands,East Midlands
80418,926,Norfolk,E,Norfolk,E12000006,East of England,,E10000020,Norfolk,,E10000020,Norfolk,England,North Norfolk,East of England,East of England
80419,921,Isle of Wight,SE,Isle of Wight,E12000008,South East,E06000046,E06000046,Isle of Wight,,E06000046,Isle of Wight,England,Isle of Wight,South East,South East
80426,370,Barnsley,YH,Barnsley,E12000003,Yorkshire and The Humber,E08000016,E08000016,Barnsley,,E08000016,Barnsley,England,Barnsley Central,Yorkshire and the Humber,Yorkshire and the Humber
80427,800,Bath and North East Somerset,SW,Bath and North East Somerset,E12000009,South West,E06000022,E06000022,Bath and North East Somerset,,E06000022,Bath and North East Somerset,England,Bath,South West,South West
80428,822,Bedford Borough,E,Bedford,E12000006,East of England,E06000055,E06000055,Bedford,,E06000055,Bedford,England,Bedford,East of England,East of England
80429,330,Birmingham,WM,Birmingham,E12000005,West Midlands,E08000025,E08000025,Birmingham,,E08000025,Birmingham,England,Birmingham,West Midlands,West Midlands
80430,889,Blackburn with Darwen,NW,Blackburn with Darwen,E12000002,North West,E06000008,E06000008,Blackburn with Darwen,,E06000008,Blackburn with Darwen,England,Blackburn,North West,North West
80431,890,Blackpool,NW,Blackpool,E12000002,North West,E06000009,E06000009,Blackpool,,E06000009,Blackpool,England,Blackpool North and Cleveleys,North West,North West
80436,867,Bracknell Forest,SE,Bracknell Forest,E12000008,South East,E06000036,E06000036,Bracknell Forest,,E06000036,Bracknell Forest,England,Bracknell,South East,South East
80441,801,"Bristol, City of",SW,Bristol,E12000009,South West,E06000023,E06000023,"Bristol, City of",,E06000023,"Bristol, City of",England,Bristol West,South West,South West
80442,825,Buckinghamshire,SE,Buckinghamshire,E12000004,East Midlands,,E10000002,Buckinghamshire,,E10000002,Buckinghamshire,England,Chesham and Amersham,South East,South East
80443,351,Bury,NW,Bury,E12000002,North West,E08000002,E08000002,Bury,,E08000002,Bury,England,Bury North,North West,North West
80444,381,Calderdale,YH,Calderdale,E12000003,Yorkshire and The Humber,E08000033,E08000033,Calderdale,,E08000033,Calderdale,England,Halifax,Yorkshire and the Humber,Yorkshire and the Humber
80445,873,Cambridgeshire,E,Cambridgeshire,E12000006,East of England,,E10000003,Cambridgeshire,,E10000003,Cambridgeshire,England,Cambridge,East of England,East of England
80446,823,Central Bedfordshire,E,Central Bedfordshire,E12000006,East of England,E06000056,E06000056,Central Bedfordshire,,E06000056,Central Bedfordshire,England,Mid Bedfordshire,East of England,East of England
80447,895,Cheshire East,NW,Cheshire East,E12000002,North West,E06000049,E06000049,Cheshire East,,E06000049,Cheshire East,England,Congleton,North West,North West
80448,896,Cheshire West and Chester,NW,Cheshire West and Chester,E12000002,North West,E06000050,E06000050,Cheshire West and Chester,,E06000050,Cheshire West and Chester,England,City of Chester,North West,North West
80449,380,Bradford,YH,Bradford,E12000003,Yorkshire and The Humber,E08000032,E08000032,Bradford,,E08000032,Bradford,England,Camborne and Redruth,Yorkshire and the Humber,Yorkshire and the Humber
80450,201,City of London,GL,London Corporation,E12000007,London,E09000001,E09000001,City of London,,E09000001,City of London,England,Coventry North East,London,London
80451,384,Wakefield,YH,Wakefield,E12000003,Yorkshire and The Humber,E08000036,E08000036,Wakefield,,E08000036,Wakefield,England,Barrow and Furness,Yorkshire and the Humber,Yorkshire and the Humber
80453,816,York,YH,York,E12000003,Yorkshire and The Humber,E06000014,E06000014,York,,E06000014,York,England,Derby North,Yorkshire and the Humber,Yorkshire and the Humber
80454,908,Cornwall,SW,Cornwall,E12000009,South West,E06000052,E06000052,Cornwall,,E06000052,Cornwall,England,Bolsover,South West,South West
80455,420,Isles of Scilly,SW,Isles of Scilly,E12000009,South West,E06000053,E06000053,Isles of Scilly,,E06000053,Isles of Scilly,England,Central Devon,South West,South West
80456,331,Coventry,WM,Coventry,E12000005,West Midlands,E08000026,E08000026,Coventry,,E08000026,Coventry,England,Doncaster Central,West Midlands,West Midlands
80458,841,Darlington,NE,Darlington,E12000001,North East,E06000005,E06000005,Darlington,,E06000005,Darlington,England,Dudley North,North East,North East
80459,831,Derby,EM,Derby,E12000004,East Midlands,E06000015,E06000015,Derby,,E06000015,Derby,England,Bishop Auckland,East Midlands,East Midlands
80461,878,Devon,SW,Devon,E12000009,South West,,E10000008,Devon,,E10000008,Devon,England,Bexhill and Battle,South West,South West
80462,371,Doncaster,YH,Doncaster,E12000003,Yorkshire and The Humber,E08000017,E08000017,Doncaster,,E08000017,Doncaster,England,Enfield North,Yorkshire and the Humber,Yorkshire and the Humber
80464,332,Dudley,WM,Dudley,E12000005,West Midlands,E08000027,E08000027,Dudley,,E08000027,Dudley,England,Blaydon,West Midlands,West Midlands
80465,840,Durham,NE,Durham,E12000001,North East,E06000047,E06000047,County Durham,,E06000047,County Durham,England,Cheltenham,North East,North East
80466,811,East Riding of Yorkshire,YH,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,E06000011,E06000011,East Riding of Yorkshire,,E06000011,East Riding of Yorkshire,England,Hertsmere,Yorkshire and the Humber,Yorkshire and the Humber
80467,845,East Sussex,SE,East Sussex,E12000008,South East,,E10000011,East Sussex,,E10000011,East Sussex,England,Hayes and Harlington,South East,South East
80468,881,Essex,E,Essex,E12000006,East of England,,E10000012,Essex,,E10000012,Essex,England,Feltham and Heston,East of England,East of England
80469,390,Gateshead,NE,Gateshead,E12000001,North East,E08000037,E08000037,Gateshead,,E08000037,Gateshead,England,Isle of Wight,North East,North East
80471,876,Halton,NW,Halton,E12000002,North West,E06000006,E06000006,Halton,,E06000006,Halton,England,Kingston upon Hull East,North West,North West
80472,850,Hampshire,SE,Hampshire,E12000008,South East,,E10000014,Hampshire,,E10000014,Hampshire,England,Batley and Spen,South East,South East
80473,805,Hartlepool,NE,Hartlepool,E12000001,North East,E06000001,E06000001,Hartlepool,,E06000001,Hartlepool,England,Burnley,North East,North East
80476,886,Kent,SE,Kent,E12000008,South East,,E10000016,Kent,,E10000016,Kent,England,Bosworth,South East,South East
80477,810,"Kingston Upon Hull,City of",YH,Kingston upon Hull,E12000003,Yorkshire and The Humber,E06000010,E06000010,Kingston upon Hull,,E06000010,Kingston upon Hull,England,Boston and Skegness,Yorkshire and the Humber,Yorkshire and the Humber
80478,382,Kirklees,YH,Kirklees,E12000003,Yorkshire and The Humber,E08000034,E08000034,Kirklees,,E08000034,Kirklees,England,Liverpool,Yorkshire and the Humber,Yorkshire and the Humber
80479,340,Knowsley,NW,Knowsley,E12000002,North West,E08000011,E08000011,Knowsley,,E08000011,Knowsley,England,Luton North,North West,North West
80480,888,Lancashire,NW,Lancashire,E12000002,North West,,E10000017,Lancashire,,E10000017,Lancashire,England,Manchester Central,North West,North West
80482,856,Leicester,EM,Leicester,E12000004,East Midlands,E06000016,E06000016,Leicester,,E06000016,Leicester,England,Middlesbrough,East Midlands,East Midlands
80483,855,Leicestershire,EM,Leicestershire,E12000004,East Midlands,,E10000018,Leicestershire,,E10000018,Leicestershire,England,Milton Keynes North,East Midlands,East Midlands
80484,925,Lincolnshire,EM,Lincolnshire,E12000004,East Midlands,,E10000019,Lincolnshire,,E10000019,Lincolnshire,England,Newcastle upon Tyne Central,East Midlands,East Midlands
80485,341,Liverpool,NW,Liverpool,E12000002,North West,E08000012,E08000012,Liverpool,,E08000012,Liverpool,England,East Ham,North West,North West
80486,301,Barking and Dagenham,GL,Barking and Dagenham,E12000007,London,E09000002,E09000002,Barking and Dagenham,,E09000002,Barking and Dagenham,England,Great Grimsby,London,London
80487,302,Barnet,GL,Barnet,E12000007,London,E09000003,E09000003,Barnet,,E09000003,Barnet,England,Scunthorpe,London,London
80490,305,Bromley,GL,Bromley,E12000007,London,E09000006,E09000006,Bromley,,E09000006,Bromley,England,Harrogate and Knaresborough,London,London
80492,306,Croydon,GL,Croydon,E12000007,London,E09000008,E09000008,Croydon,,E09000008,Croydon,England,Berwick-upon-Tweed,London,London
80493,307,Ealing,GL,Ealing,E12000007,London,E09000009,E09000009,Ealing,,E09000009,Ealing,England,Nottingham East,London,London
80495,203,Greenwich,GL,Greenwich,E12000007,London,E09000011,E09000011,Greenwich,,E09000011,Greenwich,England,Oldham West and Royton,London,London
80496,204,Hackney,GL,Hackney,E12000007,London,E09000012,E09000012,Hackney,,E09000012,Hackney,England,Banbury,London,London
80497,205,Hammersmith and Fulham,GL,Hammersmith and Fulham,E12000007,London,E09000013,E09000013,Hammersmith and Fulham,,E09000013,Hammersmith and Fulham,England,Peterborough,London,London
80498,309,Haringey,GL,Haringey,E12000007,London,E09000014,E09000014,Haringey,,E09000014,Haringey,England,Plymouth,London,London
80499,310,Harrow,GL,Harrow,E12000007,London,E09000015,E09000015,Harrow,,E09000015,Harrow,England,Portsmouth North,London,London
80500,311,Havering,GL,Havering,E12000007,London,E09000016,E09000016,Havering,,E09000016,Havering,England,Reading East,London,London
80503,313,Hounslow,GL,Hounslow,E12000007,London,E09000018,E09000018,Hounslow,,E09000018,Hounslow,England,Rotherham,London,London
80505,206,Islington,GL,Islington,E12000007,London,E09000019,E09000019,Islington,,E09000019,Islington,England,Salford and Eccles,London,London
80506,208,Lambeth,GL,Lambeth,E12000007,London,E09000022,E09000022,Lambeth,,E09000022,Lambeth,England,West Bromwich East,London,London
80508,209,Lewisham,GL,Lewisham,E12000007,London,E09000023,E09000023,Lewisham,,E09000023,Lewisham,England,Sheffield Central,London,London
80510,315,Merton,GL,Merton,E12000007,London,E09000024,E09000024,Merton,,E09000024,Merton,England,Slough,London,London
80511,316,Newham,GL,Newham,E12000007,London,E09000025,E09000025,Newham,,E09000025,Newham,England,Solihull,London,London
80512,317,Redbridge,GL,Redbridge,E12000007,London,E09000026,E09000026,Redbridge,,E09000026,Redbridge,England,Bridgwater and West Somerset,London,London
80513,318,Richmond upon Thames,GL,Richmond upon Thames,E12000007,London,E09000027,E09000027,Richmond upon Thames,,E09000027,Richmond upon Thames,England,Filton and Bradley Stoke,London,London
80514,210,Southwark,GL,Southwark,E12000007,London,E09000028,E09000028,Southwark,,E09000028,Southwark,England,South Shields,London,London
80515,319,Sutton,GL,Sutton,E12000007,London,E09000029,E09000029,Sutton,,E09000029,Sutton,England,Southampton,London,London
80516,211,Tower Hamlets,GL,Tower Hamlets,E12000007,London,E09000030,E09000030,Tower Hamlets,,E09000030,Tower Hamlets,England,Rochford and Southend East,London,London
80517,320,Waltham Forest,GL,Waltham Forest,E12000007,London,E09000031,E09000031,Waltham Forest,,E09000031,Waltham Forest,England,St. Helens North,London,London
80518,212,Wandsworth,E,Wandsworth,E12000007,London,E09000032,E09000032,Wandsworth,,E09000032,Wandsworth,England,Burton,East of England,East of England
80519,213,Westminster,NW,Westminster,E12000007,London,E09000033,E09000033,Westminster,,E09000033,Westminster,England,Cheadle,North West,North West
80520,821,Luton,NE,Luton,E12000006,East of England,E06000032,E06000032,Luton,,E06000032,Luton,England,Stockton North,North East,North East
80521,352,Manchester,SE,Manchester,E12000002,North West,E08000003,E08000003,Manchester,,E08000003,Manchester,England,Stoke-on-Trent Central,South East,South East
80522,887,Medway,NE,Medway,E12000008,South East,E06000035,E06000035,Medway,,E06000035,Medway,England,Bury St. Edmunds,North East,North East
80523,806,Middlesbrough,E,Middlesbrough,E12000001,North East,E06000002,E06000002,Middlesbrough,,E06000002,Middlesbrough,England,Sunderland Central,East of England,East of England
80524,826,Milton Keynes,YH,Milton Keynes,E12000008,South East,E06000042,E06000042,Milton Keynes,,E06000042,Milton Keynes,England,Esher and Walton,Yorkshire and the Humber,Yorkshire and the Humber
80525,391,Newcastle upon Tyne,YH,Newcastle upon Tyne,E12000001,North East,E08000021,E08000021,Newcastle upon Tyne,,E08000021,Newcastle upon Tyne,England,Carshalton and Wallington,Yorkshire and the Humber,Yorkshire and the Humber
80526,812,North East Lincolnshire,SW,North East Lincolnshire,E12000003,Yorkshire and The Humber,E06000012,E06000012,North East Lincolnshire,,E06000012,North East Lincolnshire,England,North Swindon,South West,South West
80527,813,North Lincolnshire,NE,North Lincolnshire,E12000003,Yorkshire and The Humber,E06000013,E06000013,North Lincolnshire,,E06000013,North Lincolnshire,England,Ashton-under-Lyne,North East,North East
80528,802,North Somerset,YH,North Somerset,E12000009,South West,E06000024,E06000024,North Somerset,,E06000024,North Somerset,England,The Wrekin,Yorkshire and the Humber,Yorkshire and the Humber
80529,392,North Tyneside,EM,North Tyneside,E12000001,North East,E08000022,E08000022,North Tyneside,,E08000022,North Tyneside,England,Thurrock,East Midlands,East Midlands
80532,929,Northumberland,EM,Northumberland,E12000001,North East,E06000057,E06000057,Northumberland,,E06000057,Northumberland,England,Altrincham and Sale West,East Midlands,East Midlands
80533,892,Nottingham,NW,Nottingham,E12000004,East Midlands,E06000018,E06000018,Nottingham,,E06000018,Nottingham,England,Hemsworth,North West,North West
80535,353,Oldham,SE,Oldham,E12000002,North West,E08000004,E08000004,Oldham,,E08000004,Oldham,England,Chingford and Woodford Green,South East,South East
80536,931,Oxfordshire,E,Oxfordshire,E12000008,South East,,E10000025,Oxfordshire,,E10000025,Oxfordshire,England,Tooting,East of England,East of England
80537,874,Peterborough,SW,Peterborough,E12000006,East of England,E06000031,E06000031,Peterborough,,E06000031,Peterborough,England,Warrington North,South West,South West
80539,851,Portsmouth,SE,Portsmouth,E12000008,South East,E06000044,E06000044,Portsmouth,,E06000044,Portsmouth,England,Newbury,South East,South East
80540,870,Reading,NE,Reading,E12000008,South East,E06000038,E06000038,Reading,,E06000038,Reading,England,Cities of London and Westminster,North East,North East
