data category,item number,data item,annex a  information captured,903 information captured,croydon text,croydon options,croydon forms,croydon reason for collecton,essex text,essex options,essex forms,essex reason for collection,sutton text,sutton options,sutton forms,sutton reason for collection,camden text,camden options,camden forms,camden reason for collection,were users asked specifically about this item (y/n),did users find it useful?,why was it found useful/not useful?
,Item 23,Interpreter required?,,,,,,,"Interpreter Required

Communication needs (including language)",,"Children and Families Panel Request Form
Placement Plan",,,,,,,,,,,,
,Item 31,Date CP Plan started,Annex A - CP start date (can be captured on non-CLA forms),,,,,,Date plan started,,Placement Referral Form ,,,,,,,,,,,,
,Item 40,Where does the child feel they are at the moment?,,,,,,,Where I am at,,Life Plan,,,,,,,,,,,,
,Item 41,Where child feels they are,,,,,,,(Where I am at) My view,,Life Plan,,,,,,,,,,,,
,Item 42,Where SW feels child is,,,,,,,(Where I am at) Wocial worker's view,,Life Plan,,,,,,,,,,,,
,Item 48,What is being done to support the family currently?,,,,,,,What work has already been undertaken to support the family?,,Children and Families Panel Request Form,,,,,,,,,,,,
,Item 57,Progress on review decisions,,,,,,,Review decisions,"Decision
What outcome is the decision trying to achieve?
By whom
By when
Progres son Review Decisions",Life plan,,,,,,,,,,,,
,Item 93,Category of need,Child's category of need/Need code,Child's category of need/Need code,,,,,Category of need,"Physical
Emotional
Sexual Abuse
Neglect",Placement Referral Form ,,,,,,,,,,,,
,Item 114,Does the child want to share their history?,,,,,,,Do you want to share your history?,Yes/No,My Pathway Plan and Needs Assessment,,,,,,,,,,,,
,Item 116,Worries about/regarding the child,,,,,,,What are we worried about / What is the impact for the child/ young person now? • Is the child/ young person currently receiving any services e.g. therapy/ EWMHS/YOS? • Are there any safeguarding/ behavioural concerns that the carer needs to be aware of? ,,Placement Referral Form,,,,,,,,,,,,
,Item 119,Child's feelings about parenthood?,,,,,,,How do I feel about being a parent and caring for my child?,,My Pathway Plan and Needs Assessment,,,,,,,,,,,,
,Item 120,SW Feelings about child's parenthood?,,,,,,,My Social Workers/Personal Advisers view,,My Pathway Plan and Needs Assessment,,,,,,,,,,,,
,Item 121,Actions regarding parenthood?,,,,,,,Actions,"What needs to be done
Who by?
By what date?
How do I know this is completed or progressing?
Review date",My Pathway Plan and Needs Assessment,,,,,,,,,,,,
,Item 122,Where can the child go for parenting advice and support?,,,,,,,Where do I go if I need parenting advice or support?,,My Pathway Plan and Needs Assessment,,,,,,,,,,,,
,Item 127,Details of child's offences/cautions,,,,,,,"Detail: EG when, nature of offence and any actions taken. Please include any historical or current occurrences",,Placement Referral Form ,,,,,,,,,,,,
,Item 128,Youth offending worker,,,,,,,Youth offending worker,,Placement Referral Form ,,,,,,,,,,,,
,Item 131,Images of people important to the child + details,,,,,,,Images of who is important,,Life plan,,,,,,,,,,,,
,Item 132,Child's view on in touch,,,,,,,(In touch) My view,,Life plan,,,,,,,,,,,,
,Item 133,Parents view's on in touch,,,,,,,(In touch) Views of parent,,Life plan,,,,,,,,,,,,
,Item 134,Views of significant people on in touch,,,,,,,(In touch) Views of significant people,,Life plan,,,,,,,,,,,,
,Item 135,Views of social worker on in touch,,,,,,,(In touch) Views of Social Worker,,Life plan,,,,,,,,,,,,
,Item 136,Notes on in touch,,,,,,,(In touch) Notes,,Life plan,,,,,,,,,,,,
,Item 138,Forms/info given to child,,,,,,,Information shared,"Complaints and compliments leaflet
Advocacy
New to care pack
Independent visitors
Access to records
Consent to share",Life plan,,,,,,,,,,,,
,Item 141,SW - Signature,,,,,,,Worker Signature,,Placement Referral Form ,,,,,,,,,,,,
,Item 144,SW - Email Address,,,,,,,Email address,,Placement Plan,,,,,,,,,,,,
