index,data category,item number,data item,annex a  information captured,903 information captured,croydon text,croydon options,croydon forms,croydon reason for collecton,essex text,essex options,essex forms,essex reason for collection,sutton text,sutton options,sutton forms,sutton reason for collection,camden text,camden options,camden forms,camden reason for collection,were users asked specifically about this item (y/n),did users find it useful?,why was it found useful/not useful?
1,,Item 1,First name,,,"First name(s)
Full Name",,"Pathway Plan (PLAN)
CLA Pathway Review Outcomes
CLA Review - Record of Decisions
Placement Agreement Form
CLA Care Plan
Placement Request
Care Panel",,"Name
My Name",,"Children and Families Panel Request Form
Health Assessment Monitoring
Placement Plan
Life Plan
My Pathway Plan and Needs Assessment
Independent Reviewing Officer Report
Child/YP Record of Visit",,"Name
First name",,"My Pathway Plan
Placement Plan & Delegated Authority
Placement Record
CLA/LCT Case Supervision Record
CLA Decision, Placement Change or Step Down 
Summary of All About Me Review
SW Assessment Report and Care Plan for LAC Review
LAC Review Referral
LAC Midpoint Review
Transfer in Child Looked after
All about Me Review",,Name,,"Pathway Needs Assessment
Discharge from care
CLA Visit
Pathway Plan
Record of accommodation decision
Request for placement and matching
CLA Updated assessment 
CLA Placement and Health Consent Form
Chair's monitoring form
Chair's report - updated care plan",,,,
2,,Item 2,Surname,,,"Surname
Full Name",,"Pathway Plan (PLAN)
CLA Pathway Review Outcomes
CLA Review - Record of Decisions
Placement Agreement Form
CLA Care Plan
Placement Request
Care Panel",,"Name
My Name",,"Children and Families Panel Request Form
Placement Plan
Life Plan
My Pathway Plan and Needs Assessment
Independent Reviewing Officer Report
Child/YP Record of VisitHealth Assessment Monitoring",,"Name
Family Names",,"My Pathway Plan
Placement Plan & Delegated Authority
Placement Record
CLA/LCT Case Supervision Record
CLA Decision, Placement Change or Step Down 
Summary of All About Me Review
SW Assessment Report and Care Plan for LAC Review
LAC Midpoint Review
Transfer in Child Looked after
All About Me Review",,Name,,"Pathway Needs Assessment
Discharge from care
CLA Visit
Pathway Plan
Record of accommodation decision
Request for placement and matching
CLA Updated assessment 
CLA Placement and Health Consent Form
Chair's monitoring form
Chair's report - updated care plan",,,,
27,,Item 27,Ethnic Identity,,,Ethnicity notes ,,Placement agreement ,,Identity,,Placement Plan,,Ethnic Identity,"Black, Black British, Caribbean, or African/ Mixed or Multi ethnic/White/Other Ethnic Group","My Pathway Plan
All About Me Review
Summary of All About Me Review",,"Details of the child's identity, religious persuasion, cultural and linguistic background and racial origin",N/A (Free text entry),Placement Plan,,,,
29,,Item 29,Religion,,,Religion,,Placement Request,,Religion,,"Children and Families Panel Request Form
Placement PlanIndependent Reviewing Officer Report",,Religion,,"Placement Record
SW Assessment Report and Care Plan for LAC Review
Placement Plan & Delegated Authority
CLA/LCT Case Supervision Record",,Religion,,"Placement Plan
CLA Placement and Health Consent Form",,,,
91,,Item 89,Child's vulnerability risks and what can be done to mitigate them?,,,"Give more details - nature of vulnerability/risk, details within the last 6 to 12 months, context & support - mitigation of vulnerability / risk?",,Placement Request,,"Please provide details of up to date Risk Assessments on mosaic or otherwise available e.g. Child Exploitation & Hidden Harm/ Missing/YOS Assessment and Intervention Plan/Mental Health, Substance Misuse Educational Psychology? 

Please provide any known/potential areas of risk with area of need","Substance misuse
History of going missing
Bullying (victim)
Bullying (Perpetrator)
Self Harm inppropriate sexual behaviours
Sexual abuse (victim)
Sexual abuse (perpetrator)
Physical abuse
Physical/violent behaviour
Emotional abuse/neglect
Physical care and hygiene
Sleeping patterns
Has witnessed domestic violence
presents a risk to pets
Arson related history/offences
Gangs
Exploitation and hidden harm
Mental health 
Significant health conditions
baby",Placement Referral Form ,,Are there any potential/actual risks/hazards,yes/no,LAC Review Referral,,Assessment of any risk as identified,N/A (Free text entry),Request for placement and matching,,,,
107,,Item 105,"Does the child have race, culture, language, interest, disability needs?",,,"Does the child/young person have any specific needs arising from race, culture, language, religion, interests, abilities and disabilities",Placement Request: 1.Yes/0.No,Placement Request,,Communication needs (including language),,Placement Plan,,"Diversity Considerations
Disability/special needs (including communications)",,Placement Plan & Delegated Authority,,Give details of any agreed back up/respite care arrangements and any extra resources to help the carer meet the child's needs,N/A (Free text entry),Placement Plan,,,,
108,,Item 106,"Details of child's specific race, culture, language, interest, disability needs",,,If yes please provide details,,Placement Request,,"Details of the child's identity, religious persuasion, cultural and linguistic background and racial origin",,Placement Plan,,"Diversity Considerations
Disability/special needs (including communications)",,Placement Plan & Delegated Authority,,"Details of the child's identity, religious persuasion, cultural and linguistic background and racial origin",N/A (Free text entry),"Placement Plan
Request for placement and matching",,,,
142,,Item 140,SW - Name,,,Social Worker - Name,,"CLA Care Plan
CLA Progress Report (Worker)",,"Name
Your personal adviser/social worker is",,"Placement Plan
Placement Referral Form
Life plan 
My Pathway Plan and Needs Assessment",,Social Worker Name,,"Placement Plan & Delegated Authority
LAC Review Referral
LAC Review Referral",,Details of involved professionals Name,N/A (Free text entry),"Placement Plan
Request for placement and matching
CLA Placement and Health Consent form
Chair's monitoring form",,,,
145,,Item 143,SW - Telephone,,,Social Worker - Telephone,,CLA Care Plan,,"Telephone
Contact Details",,"Placement Plan
Placement Referral Form 
Life plan
My Pathway Plan and Needs Assessment",,Telephone Number,,Placement Plan & Delegated Authority ,,Details of involved professionals Contact details,N/A (Free text entry),"Placement Plan
Request for placement and matching",,,,
150,,Item 148,SW/Professional -  Details,,,Professional,,"Pathway Plan (PLAN)
Care Panel",,Contact details,,My Pathway Plan and Needs Assessment,,Details of SW,,"My Pathway Plan
CLA/LCT Case Supervision Record
LAC Review Referral",,People involved in the assessment Agency,,"Pathway Needs Assessment
Request for placement and matching",,,,
