,item number,data item,croydon text,croydon main reason for recording data item,essex text,essex main reason for recording local data item,sutton text,sutton main reason for recording local data item,camden text,camden main reason for recording local data item
5,Item 5,Expected DOB,,,,,Date of Birth/Expected Date of Delivery,1. For social work practitioners and/or the child/YP,,
7,Item 7,Gender Identity,,,,,Gender Identity,1. For social work practitioners and/or the child/YP,,
13,Item 13,Is the address confidential?,,,,,Is the address of the young person confidential?,1. For social work practitioners and/or the child/YP,,
18,Item 18,Most recent non-CLA legal status,,,,,Most recent non-CLA legal status,1. For social work practitioners and/or the child/YP,,
19,Item 19,Status of child's current case,,,,,Case Status,1. For social work practitioners and/or the child/YP,,
24,Item 24,Diversity considerations,,,,,Diversity considerations,1. For social work practitioners and/or the child/YP,,
38,Item 37,Independent Review Officer Report,,,,,IRO Report,1. For social work practitioners and/or the child/YP,,
50,Item 49,Is the child keeping safe/how can they keep safe?,,,,,Keeping safe,1. For social work practitioners and/or the child/YP,,
51,Item 50,How does the child feel about when they see their family?,,,,,When you see your family how is this going,1. For social work practitioners and/or the child/YP,,
52,Item 51,Understanding of life story,,,,,Do you understand your life story so far?,1. For social work practitioners and/or the child/YP,,
53,Item 52,What life story work has been done,,,,,What life story work has been done since your last pathway plan?,1. For social work practitioners and/or the child/YP,,
54,Item 53,"If no, when will life story work be done?",,,,,"If none, when and what will be done?",1. For social work practitioners and/or the child/YP,,
55,Item 54,Would the child like a mentor?,,,,,"Would you like an advocate, independent visitor or mentor?",1. For social work practitioners and/or the child/YP,,
56,Item 55,Independent Review Officer summary of getting to know child review,,,,,IRO summary of review,1. For social work practitioners and/or the child/YP,,
61,Item 60,"If action has not been made to meet the decision from the last review, what further action is needed?",,,,,"If no, why not and what further action is required?",1. For social work practitioners and/or the child/YP,,
62,Item 61,Outcome required from decision made in the getting to know the child meeting,,,,,Outcome required,1. For social work practitioners and/or the child/YP,,
65,Item 64,What is the venue for the next getting to know the child meeting?,,,,,Venue,1. For social work practitioners and/or the child/YP,,
70,Item 69,Update (identity),,,,,Update,1. For social work practitioners and/or the child/YP,,
75,Item 74,Sign off from meeting,,,,,Sign off,2. For management oversight of case decisions and accountability purposes,,
76,Item 75,Action taken from the getting to know the child meeting,,,,,Action taken,1. For social work practitioners and/or the child/YP,,
77,Item 76,Next action from the getting to know the child meeting,,,,,Next action,1. For social work practitioners and/or the child/YP,,
78,Item 77,Priority of actions from getting to know the child meeting,,,,,Priority,,,
79,Item 78,Case Supervision date of supervision,,,,,Date of Supervision,2. For management oversight of case decisions and accountability purposes,,
80,Item 79,Child's knowledge of their rights,,,,,My rights,1. For social work practitioners and/or the child/YP,,
87,Item 85,Feedback for the LA?,,,,,Do you have any feedback for Sutton?,1. For social work practitioners and/or the child/YP,,
88,Item 86,Level of consent given by child,,,,,Level of Consent given,1. For social work practitioners and/or the child/YP,,
89,Item 87,Details of limited consent,,,,,Details of Limited Consent,1. For social work practitioners and/or the child/YP,,
90,Item 88,Details of MCA/Best Interest Decision requirement,,,,,Details of MCA/Best Interest Decision requirement,1. For social work practitioners and/or the child/YP,,
92,Item 90,Risks from others,,,,,Risks from others,1. For social work practitioners and/or the child/YP,,
93,Item 91,Risks to others,,,,,Risks to others,1. For social work practitioners and/or the child/YP,,
114,Item 113,Important dates: Type of event and date,,,,,"Type of event, assessment, meeting, etc, Date",2. For management oversight of case decisions and accountability purposes,,
154,Item 152,SW - ATM,,,,,ATM,2. For management oversight of case decisions and accountability purposes,,
158,Item 156,Supervising Social Worker - Email,,,,,Email address,2. For management oversight of case decisions and accountability purposes,,
189,Item 187,Other professional(s),,,,,Other Professional(s),1. For social work practitioners and/or the child/YP,,
213,Item 210,Certificates,,,,,Do you have any Certificates?,1. For social work practitioners and/or the child/YP,,
222,Item 219,Does the child have a care plan,,,,,My Care Plan (17 or under),1. For social work practitioners and/or the child/YP,,
223,Item 220,CV,,,,,Do you have a Curriculum Vitae/Resume.,1. For social work practitioners and/or the child/YP,,
226,Item 223,Does LA hold copies of important documents,,,,,"If yes, is a copy held by Sutton?",1. For social work practitioners and/or the child/YP,,
236,Item 232,Child's worries (general),,,,,Any worries or things I need help with?,1. For social work practitioners and/or the child/YP,,
343,Item 336,Name of LA responsible for school,,,,,Name of responsible LA,1. For social work practitioners and/or the child/YP,,
348,Item 341,"What type of schooling does the child require (e.g. SEN, mainstream, PRU)",,,,,Type of provision,1. For social work practitioners and/or the child/YP,,
353,Item 346,Details of educational support needs,,,,,Please list additional educational support,1. For social work practitioners and/or the child/YP,,
354,Item 347,Child's after school activities,,,,,After school activities,1. For social work practitioners and/or the child/YP,,
376,Item 369,Care arrangements during holidays and absence,,,,,Detail what the care arrangements for the young person will be during school closures (including holidays) and periods of absence due to sickness or exclusion,1. For social work practitioners and/or the child/YP,,
377,Item 370,Who will respond to communications from the school?,,,,,"Who will receive and respond to communications and reports from the school/establishment? Who will information be shared with, as appropriate, and how?",1. For social work practitioners and/or the child/YP,,
378,Item 371,Who will attend school events such as parents evenings?,,,,,"Who will attend events, parent consultations, PEP meetings, parents' evenings, unplanned meetings re incidents/issues? Who will information be shared with, as appropriate, and how?",1. For social work practitioners and/or the child/YP,,
