,item number,data item,croydon main reason for recording data item,essex main reason for recording local data item,sutton main reason for recording local data item,camden main reason for recording local data item
109,Item 107,Current remand status,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
163,Item 161,Carer/ Keyworker - Team/Agency,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
174,Item 172,Personal Advisor - Name,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
176,Item 174,Team Manager - Team/Agency,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
179,Item 177,Unit Manager - Name,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
180,Item 178,Placement - Name,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
181,Item 179,Placement - Team/Agency,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
182,Item 180,Placement - Telephone,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
183,Item 181,Other - Name,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
184,Item 182,Other - Team/Agency,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
185,Item 183,Other - Telephone,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
278,Item 273,Financial aspirations/changes to be made,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
279,Item 274,Financial aspirations achievement measure,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
355,Item 348,Child/other worried about EET choices?,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
385,Item 377,Child/YP's health,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
412,Item 404,Does child arrange own health appointments?/Who arranges appointments?,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
422,Item 414,Placement relevant disabilities?,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
436,Item 428,Who is transporting the child to medical appointments?,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
468,Item 460,SDQ given to current carer?,,,,1. For social work practitioners and/or the child/YP
597,Item 586,How can child improve independence skills over 6 months?,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
604,Item 593,How will independence skill goals be met?,1. For social work practitioners and/or the child/YP,,,1. For social work practitioners and/or the child/YP
616,Item 604,When did the pathway plan assessment begin?,1. For social work practitioners and/or the child/YP,,,3. For LA reporting purposes and generating performance indicators
