,practitioner reason,consumer reason,la
11,Language/Guidance/Design,Practice / Training,croydon
25,Not relevant,Useful to LA,croydon
39,Language/Guidance/Design,Practice / Training,croydon
66,Duplication,Useful for understanding the case,croydon
67,Duplication,Useful for understanding the case,croydon
68,Duplication,Useful for understanding the case,croydon
72,Not relevant,Practice / Training,croydon
83,Language/Guidance/Design,Practice / Training,croydon
84,Not relevant,Practice / Training,croydon
85,Not relevant,Practice / Training,croydon
86,Not relevant,Practice / Training,croydon
142,Language/Guidance/Design,Agree - needs to be looked at,croydon
186,Duplication,Practice / Training,croydon
187,Duplication,Practice / Training,croydon
188,Duplication,Practice / Training,croydon
202,Not relevant,Practice / Training,croydon
251,Not relevant,Practice / Training,croydon
267,Not relevant,Practice / Training,croydon
286,Language/Guidance/Design,Practice / Training,croydon
320,Not relevant,Practice / Training,croydon
327,Language/Guidance/Design,Practice / Training,croydon
389,Useful only to the child,Useful to LA,croydon
394,Useful only to the child,Useful to LA,croydon
398,Useful only to the child,Useful to LA,croydon
401,Useful only to the child,Useful to LA,croydon
413,Useful only to the child,Useful to LA,croydon
415,Useful only to the child,Useful to LA,croydon
416,Useful only to the child,Useful to LA,croydon
417,Language/Guidance/Design,Useful for understanding the case,croydon
418,Useful to someone else in LA,Useful to LA,croydon
543,Language/Guidance/Design,Practice / Training,croydon
544,Language/Guidance/Design,Practice / Training,croydon
545,Language/Guidance/Design,Practice / Training,croydon
546,Language/Guidance/Design,Practice / Training,croydon
547,Language/Guidance/Design,Practice / Training,croydon
564,Language/Guidance/Design,Practice / Training,croydon
565,Language/Guidance/Design,Practice / Training,croydon
566,Language/Guidance/Design,Practice / Training,croydon
567,Not relevant,Practice / Training,croydon
572,Not relevant,Practice / Training,croydon
586,Language/Guidance/Design,Practice / Training,croydon
590,Language/Guidance/Design,Agree - needs to be looked at,croydon
592,Language/Guidance/Design,Agree - needs to be looked at,croydon
593,Language/Guidance/Design,Useful for understanding the case,croydon
1166,Language/Guidance/Design,Practice / Training,croydon
1178,Language/Guidance/Design,Useful to LA,croydon
1195,Duplication,Useful to LA,croydon
1317,Duplication,Practice / Training,croydon
1425,Not relevant,Useful for understanding the case,croydon
1,Duplication,Agree - needs to be looked at,essex
4,Duplication,Useful for understanding the case,essex
6,Duplication,Agree - needs to be looked at,essex
11,Duplication,Agree - needs to be looked at,essex
17,Not relevant,Useful to LA,essex
26,Duplication,Agree - needs to be looked at,essex
29,Duplication,Agree - needs to be looked at,essex
41,Duplication,Agree - needs to be looked at,essex
42,Language/Guidance/Design,Agree - needs to be looked at,essex
116,Duplication,Duplication,essex
139,Duplication,Agree - needs to be looked at,essex
145,Not relevant,Duplication,essex
150,Not relevant,Duplication,essex
152,Not relevant,Duplication,essex
171,Duplication,Useful to LA,essex
265,Not relevant,Practice / Training,essex
421,Prepopulated,Duplication,essex
704,Language/Guidance/Design,Useful to LA,essex
710,Duplication,Agree - needs to be looked at,essex
711,Duplication,Duplication,essex
712,Duplication,Duplication,essex
715,Language/Guidance/Design,Agree - needs to be looked at,essex
726,Duplication,Practice / Training,essex
849,Not relevant,Agree - needs to be looked at,essex
854,Language/Guidance/Design,Agree - needs to be looked at,essex
874,Language/Guidance/Design,Practice / Training,essex
891,Useful to someone else in LA,Agree - needs to be looked at,essex
1081,Language/Guidance/Design,Agree - needs to be looked at,essex
1082,Language/Guidance/Design,Useful to LA,essex
1083,Language/Guidance/Design,Useful to LA,essex
1084,Language/Guidance/Design,Useful to LA,essex
1085,Language/Guidance/Design,Useful to LA,essex
1086,Language/Guidance/Design,Useful to LA,essex
1087,Language/Guidance/Design,Useful to LA,essex
1088,Language/Guidance/Design,Useful to LA,essex
1089,Language/Guidance/Design,Useful to LA,essex
1129,Language/Guidance/Design,Agree - needs to be looked at,essex
1199,Duplication,Agree - needs to be looked at,essex
1480,Not relevant,Useful to LA,essex
1481,Not relevant,Useful to LA,essex
1485,Duplication,Practice / Training,essex
1554,Useful to someone else in LA,Useful to LA,essex
1555,Duplication,Practice / Training,essex
1556,Language/Guidance/Design,Practice / Training,essex
1593,Duplication,Practice / Training,essex
1594,Duplication,Practice / Training,essex
1595,Language/Guidance/Design,Agree - needs to be looked at,essex
1597,Language/Guidance/Design,Useful to LA,essex
7,Duplication,Agree - needs to be looked at,sutton
17,Not relevant,Practice / Training,sutton
25,Language/Guidance/Design,Practice / Training,sutton
27,Duplication,Duplication,sutton
28,Duplication,Duplication,sutton
57,Language/Guidance/Design,Agree - needs to be looked at,sutton
59,Language/Guidance/Design,Agree - needs to be looked at,sutton
74,Language/Guidance/Design,Practice / Training,sutton
84,Duplication,Useful to LA,sutton
87,Not relevant,Useful to LA,sutton
88,Language/Guidance/Design,Practice / Training,sutton
89,Language/Guidance/Design,Practice / Training,sutton
114,Useful to someone else in LA,Practice / Training,sutton
202,Duplication,Agree - needs to be looked at,sutton
209,Not relevant,Useful for understanding the case,sutton
213,Duplication,Useful for understanding the case,sutton
223,Not relevant,Practice / Training,sutton
251,Duplication,Agree - needs to be looked at,sutton
451,Not relevant,Agree - needs to be looked at,sutton
611,Duplication,Practice / Training,sutton
612,Language/Guidance/Design,Practice / Training,sutton
1323,Language/Guidance/Design,Practice / Training,sutton
1466,Language/Guidance/Design,Agree - needs to be looked at,sutton
1467,Language/Guidance/Design,Practice / Training,sutton
1468,Language/Guidance/Design,Practice / Training,sutton
1469,Language/Guidance/Design,Practice / Training,sutton
1470,Language/Guidance/Design,Practice / Training,sutton
1471,Language/Guidance/Design,Practice / Training,sutton
11,Prepopulated,Practice / Training,camden
17,Useful to someone else in LA,Practice / Training,camden
32,Duplication,Agree - needs to be looked at,camden
159,Duplication,Agree - needs to be looked at,camden
171,Language/Guidance/Design,Useful to LA,camden
312,Useful to someone else in LA,Useful to LA,camden
627,Duplication,Duplication,camden
642,Not relevant,Practice / Training,camden
665,Language/Guidance/Design,Agree - needs to be looked at,camden
962,Duplication,Agree - needs to be looked at,camden
1090,Duplication,Practice / Training,camden
1091,Duplication,Practice / Training,camden
1135,Not relevant,Practice / Training,camden
1267,Language/Guidance/Design,Practice / Training,camden
1271,Not relevant,Useful for understanding the case,camden
1272,Not relevant,Useful for understanding the case,camden
1278,Prepopulated,Practice / Training,camden
1279,Prepopulated,Practice / Training,camden
1280,Prepopulated,Practice / Training,camden
1281,Prepopulated,Practice / Training,camden
1282,Prepopulated,Practice / Training,camden
1283,Language/Guidance/Design,Agree - needs to be looked at,camden
1284,Language/Guidance/Design,Agree - needs to be looked at,camden
1285,Language/Guidance/Design,Agree - needs to be looked at,camden
1286,Language/Guidance/Design,Agree - needs to be looked at,camden
1287,Language/Guidance/Design,Agree - needs to be looked at,camden
1288,Duplication,Practice / Training,camden
1289,Duplication,Practice / Training,camden
1290,Duplication,Practice / Training,camden
1291,Duplication,Practice / Training,camden
1292,Duplication,Practice / Training,camden
1293,Duplication,Practice / Training,camden
1296,Duplication,Practice / Training,camden
1297,Duplication,Practice / Training,camden
1298,Duplication,Practice / Training,camden
1299,Duplication,Practice / Training,camden
1300,Duplication,Agree - needs to be looked at,camden
1301,Duplication,Practice / Training,camden
1302,Duplication,Practice / Training,camden
1303,Duplication,Practice / Training,camden
