,practitioner reason,consumer reason,la
11,Prepopulated,Practice / Training,camden
17,Useful to someone else in LA,Practice / Training,camden
32,Duplication,Agree - needs to be looked at,camden
159,Duplication,Agree - needs to be looked at,camden
171,Language/Guidance/Design,Useful to LA,camden
312,Useful to someone else in LA,Useful to LA,camden
627,Duplication,Duplication,camden
642,Not relevant,Practice / Training,camden
665,Language/Guidance/Design,Agree - needs to be looked at,camden
962,Duplication,Agree - needs to be looked at,camden
1090,Duplication,Practice / Training,camden
1091,Duplication,Practice / Training,camden
1135,Not relevant,Practice / Training,camden
1267,Language/Guidance/Design,Practice / Training,camden
1271,Not relevant,Useful for understanding the case,camden
1272,Not relevant,Useful for understanding the case,camden
1278,Prepopulated,Practice / Training,camden
1279,Prepopulated,Practice / Training,camden
1280,Prepopulated,Practice / Training,camden
1281,Prepopulated,Practice / Training,camden
1282,Prepopulated,Practice / Training,camden
1283,Language/Guidance/Design,Agree - needs to be looked at,camden
1284,Language/Guidance/Design,Agree - needs to be looked at,camden
1285,Language/Guidance/Design,Agree - needs to be looked at,camden
1286,Language/Guidance/Design,Agree - needs to be looked at,camden
1287,Language/Guidance/Design,Agree - needs to be looked at,camden
1288,Duplication,Practice / Training,camden
1289,Duplication,Practice / Training,camden
1290,Duplication,Practice / Training,camden
1291,Duplication,Practice / Training,camden
1292,Duplication,Practice / Training,camden
1293,Duplication,Practice / Training,camden
1296,Duplication,Practice / Training,camden
1297,Duplication,Practice / Training,camden
1298,Duplication,Practice / Training,camden
1299,Duplication,Practice / Training,camden
1300,Duplication,Agree - needs to be looked at,camden
1301,Duplication,Practice / Training,camden
1302,Duplication,Practice / Training,camden
1303,Duplication,Practice / Training,camden
1305,Duplication,Agree - needs to be looked at,camden
1306,Duplication,Agree - needs to be looked at,camden
1307,Duplication,Useful for understanding the case,camden
1308,Duplication,Useful for understanding the case,camden
1309,Duplication,Useful for understanding the case,camden
1311,Duplication,Practice / Training,camden
1312,Useful to someone else in LA,Useful to LA,camden
1355,Language/Guidance/Design,Agree - needs to be looked at,camden
1358,Language/Guidance/Design,Agree - needs to be looked at,camden
1474,Duplication,Practice / Training,camden
1475,Duplication,Practice / Training,camden
