,practitioner reason,consumer reason,la
11,Language/Guidance/Design,Practice / Training,croydon
25,Not relevant,Useful to LA,croydon
39,Language/Guidance/Design,Practice / Training,croydon
66,Duplication,Useful for understanding the case,croydon
67,Duplication,Useful for understanding the case,croydon
68,Duplication,Useful for understanding the case,croydon
72,Not relevant,Practice / Training,croydon
83,Language/Guidance/Design,Practice / Training,croydon
84,Not relevant,Practice / Training,croydon
85,Not relevant,Practice / Training,croydon
86,Not relevant,Practice / Training,croydon
142,Language/Guidance/Design,Agree - needs to be looked at,croydon
186,Duplication,Practice / Training,croydon
187,Duplication,Practice / Training,croydon
188,Duplication,Practice / Training,croydon
202,Not relevant,Practice / Training,croydon
251,Not relevant,Practice / Training,croydon
267,Not relevant,Practice / Training,croydon
286,Language/Guidance/Design,Practice / Training,croydon
320,Not relevant,Practice / Training,croydon
327,Language/Guidance/Design,Practice / Training,croydon
389,Useful only to the child,Useful to LA,croydon
394,Useful only to the child,Useful to LA,croydon
398,Useful only to the child,Useful to LA,croydon
401,Useful only to the child,Useful to LA,croydon
413,Useful only to the child,Useful to LA,croydon
415,Useful only to the child,Useful to LA,croydon
416,Useful only to the child,Useful to LA,croydon
417,Language/Guidance/Design,Useful for understanding the case,croydon
418,Useful to someone else in LA,Useful to LA,croydon
543,Language/Guidance/Design,Practice / Training,croydon
544,Language/Guidance/Design,Practice / Training,croydon
545,Language/Guidance/Design,Practice / Training,croydon
546,Language/Guidance/Design,Practice / Training,croydon
547,Language/Guidance/Design,Practice / Training,croydon
564,Language/Guidance/Design,Practice / Training,croydon
565,Language/Guidance/Design,Practice / Training,croydon
566,Language/Guidance/Design,Practice / Training,croydon
567,Not relevant,Practice / Training,croydon
572,Not relevant,Practice / Training,croydon
586,Language/Guidance/Design,Practice / Training,croydon
590,Language/Guidance/Design,Agree - needs to be looked at,croydon
592,Language/Guidance/Design,Agree - needs to be looked at,croydon
593,Language/Guidance/Design,Useful for understanding the case,croydon
1166,Language/Guidance/Design,Practice / Training,croydon
1178,Language/Guidance/Design,Useful to LA,croydon
1195,Duplication,Useful to LA,croydon
1317,Duplication,Practice / Training,croydon
1425,Not relevant,Useful for understanding the case,croydon
