,practitioner reason,consumer reason,la
1,Duplication,Agree - needs to be looked at,essex
4,Duplication,Useful for understanding the case,essex
6,Duplication,Agree - needs to be looked at,essex
11,Duplication,Agree - needs to be looked at,essex
17,Not relevant,Useful to LA,essex
26,Duplication,Agree - needs to be looked at,essex
29,Duplication,Agree - needs to be looked at,essex
41,Duplication,Agree - needs to be looked at,essex
42,Language/Guidance/Design,Agree - needs to be looked at,essex
116,Duplication,Duplication,essex
139,Duplication,Agree - needs to be looked at,essex
145,Not relevant,Duplication,essex
150,Not relevant,Duplication,essex
152,Not relevant,Duplication,essex
171,Duplication,Useful to LA,essex
265,Not relevant,Practice / Training,essex
421,Prepopulated,Duplication,essex
704,Language/Guidance/Design,Useful to LA,essex
710,Duplication,Agree - needs to be looked at,essex
711,Duplication,Duplication,essex
712,Duplication,Duplication,essex
715,Language/Guidance/Design,Agree - needs to be looked at,essex
726,Duplication,Practice / Training,essex
849,Not relevant,Agree - needs to be looked at,essex
854,Language/Guidance/Design,Agree - needs to be looked at,essex
874,Language/Guidance/Design,Practice / Training,essex
891,Useful to someone else in LA,Agree - needs to be looked at,essex
1081,Language/Guidance/Design,Agree - needs to be looked at,essex
1082,Language/Guidance/Design,Useful to LA,essex
1083,Language/Guidance/Design,Useful to LA,essex
1084,Language/Guidance/Design,Useful to LA,essex
1085,Language/Guidance/Design,Useful to LA,essex
1086,Language/Guidance/Design,Useful to LA,essex
1087,Language/Guidance/Design,Useful to LA,essex
1088,Language/Guidance/Design,Useful to LA,essex
1089,Language/Guidance/Design,Useful to LA,essex
1129,Language/Guidance/Design,Agree - needs to be looked at,essex
1199,Duplication,Agree - needs to be looked at,essex
1480,Not relevant,Useful to LA,essex
1481,Not relevant,Useful to LA,essex
1485,Duplication,Practice / Training,essex
1554,Useful to someone else in LA,Useful to LA,essex
1555,Duplication,Practice / Training,essex
1556,Language/Guidance/Design,Practice / Training,essex
1593,Duplication,Practice / Training,essex
1594,Duplication,Practice / Training,essex
1595,Language/Guidance/Design,Agree - needs to be looked at,essex
1597,Language/Guidance/Design,Useful to LA,essex
