,practitioner reason,consumer reason,la
7,Duplication,Agree - needs to be looked at,sutton
17,Not relevant,Practice / Training,sutton
25,Language/Guidance/Design,Practice / Training,sutton
27,Duplication,Duplication,sutton
28,Duplication,Duplication,sutton
57,Language/Guidance/Design,Agree - needs to be looked at,sutton
59,Language/Guidance/Design,Agree - needs to be looked at,sutton
74,Language/Guidance/Design,Practice / Training,sutton
84,Duplication,Useful to LA,sutton
87,Not relevant,Useful to LA,sutton
88,Language/Guidance/Design,Practice / Training,sutton
89,Language/Guidance/Design,Practice / Training,sutton
114,Useful to someone else in LA,Practice / Training,sutton
202,Duplication,Agree - needs to be looked at,sutton
209,Not relevant,Useful for understanding the case,sutton
213,Duplication,Useful for understanding the case,sutton
223,Not relevant,Practice / Training,sutton
251,Duplication,Agree - needs to be looked at,sutton
451,Not relevant,Agree - needs to be looked at,sutton
611,Duplication,Practice / Training,sutton
612,Language/Guidance/Design,Practice / Training,sutton
1323,Language/Guidance/Design,Practice / Training,sutton
1466,Language/Guidance/Design,Agree - needs to be looked at,sutton
1467,Language/Guidance/Design,Practice / Training,sutton
1468,Language/Guidance/Design,Practice / Training,sutton
1469,Language/Guidance/Design,Practice / Training,sutton
1470,Language/Guidance/Design,Practice / Training,sutton
1471,Language/Guidance/Design,Practice / Training,sutton
