,Item number,Croydon Main reason for recording data item,Essex Main reason for recording local data item,Sutton Main reason for recording local data item,Camden Main reason for recording local data item
1,Item 1,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
2,Item 2,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
27,Item 27,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
29,Item 29,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
107,Item 105,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
108,Item 106,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
252,Item 247,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
292,Item 287,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
311,Item 305,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
337,Item 330,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
345,Item 338,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
357,Item 350,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
440,Item 432,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
450,Item 442,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
493,Item 484,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
529,Item 520,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
536,Item 527,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
663,Item 651,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
674,Item 662,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
710,Item 698,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
819,Item 806,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
879,Item 866,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
1016,Item 1002,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
1033,Item 1019,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
1049,Item 1033,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP,1. For social work practitioners and/or the child/YP
